timestamp,open,high,low,close
2025-06-05 00:05,1.141965,1.141995,1.14194,1.14196
2025-06-05 00:06,1.14193,1.14199,1.14193,1.14198
2025-06-05 00:07,1.141975,1.142015,1.141975,1.142015
2025-06-05 00:08,1.142005,1.14217,1.142,1.14209
2025-06-05 00:09,1.14207,1.1421,1.142065,1.142095
2025-06-05 00:10,1.1421,1.1421,1.14209,1.14209
2025-06-05 00:11,1.1421,1.1421,1.14208,1.14209
2025-06-05 00:12,1.142035,1.14208,1.14199,1.14199
2025-06-05 00:13,1.142,1.142,1.142,1.142
2025-06-05 00:14,1.14197,1.14198,1.14196,1.14198
2025-06-05 00:15,1.14195,1.141985,1.141945,1.141985
2025-06-05 00:16,1.14198,1.14198,1.141935,1.14198
2025-06-05 00:17,1.14195,1.14198,1.14194,1.141975
2025-06-05 00:18,1.142125,1.14223,1.14212,1.142215
2025-06-05 00:19,1.142225,1.14228,1.1422,1.14225
2025-06-05 00:20,1.142245,1.142245,1.142135,1.14217
2025-06-05 00:21,1.14211,1.14212,1.142085,1.14211
2025-06-05 00:22,1.14213,1.14214,1.142035,1.14205
2025-06-05 00:23,1.14204,1.14205,1.142,1.14201
2025-06-05 00:24,1.142005,1.14214,1.142005,1.142075
2025-06-05 00:25,1.14206,1.1421,1.142,1.142015
2025-06-05 00:26,1.142035,1.14206,1.142035,1.142035
2025-06-05 00:27,1.142055,1.142125,1.142035,1.14211
2025-06-05 00:28,1.142115,1.14216,1.142075,1.1421
2025-06-05 00:29,1.14191,1.14194,1.14181,1.14184
2025-06-05 00:30,1.141855,1.141915,1.141745,1.141795
2025-06-05 00:31,1.141795,1.14181,1.14179,1.14179
2025-06-05 00:32,1.141765,1.141765,1.141765,1.141765
2025-06-05 00:33,1.14177,1.14177,1.14177,1.14177
2025-06-05 00:34,1.14182,1.14182,1.14182,1.14182
2025-06-05 00:35,1.14184,1.14184,1.14175,1.141795
2025-06-05 00:36,1.141805,1.141805,1.141805,1.141805
2025-06-05 00:37,1.141695,1.14174,1.141695,1.141735
2025-06-05 00:38,1.14173,1.14178,1.14173,1.141745
2025-06-05 00:39,1.14173,1.141735,1.141725,1.14173
2025-06-05 00:40,1.14173,1.141755,1.141665,1.14167
2025-06-05 00:41,1.141705,1.141705,1.141705,1.141705
2025-06-05 00:42,1.141675,1.1417,1.14167,1.141685
2025-06-05 00:43,1.14168,1.14168,1.141655,1.141655
2025-06-05 00:44,1.14166,1.141675,1.14166,1.14166
2025-06-05 00:45,1.14166,1.141735,1.14165,1.141735
2025-06-05 00:46,1.1418,1.14186,1.1418,1.14183
2025-06-05 00:47,1.14181,1.14181,1.14181,1.14181
2025-06-05 00:48,1.141835,1.141835,1.141835,1.141835
2025-06-05 00:49,1.141835,1.141835,1.141825,1.141835
2025-06-05 00:50,1.141845,1.141845,1.141825,1.141825
2025-06-05 00:51,1.141815,1.141815,1.141815,1.141815
2025-06-05 00:52,1.14186,1.141875,1.14186,1.141875
2025-06-05 00:53,1.14186,1.141875,1.14186,1.141865
2025-06-05 00:54,1.141855,1.141855,1.141855,1.141855
2025-06-05 00:55,1.141805,1.141845,1.141805,1.141845
2025-06-05 00:56,1.14185,1.141865,1.141835,1.14186
2025-06-05 00:57,1.141845,1.14186,1.14183,1.14183
2025-06-05 00:58,1.141855,1.141855,1.141855,1.141855
2025-06-05 00:59,1.14189,1.14189,1.141875,1.141875
2025-06-05 01:00,1.141875,1.141915,1.141875,1.141895
2025-06-05 01:01,1.141885,1.141905,1.14188,1.141905
2025-06-05 01:02,1.141885,1.141915,1.14187,1.141905
2025-06-05 01:03,1.141895,1.141905,1.14187,1.14187
2025-06-05 01:04,1.14187,1.14193,1.141865,1.14193
2025-06-05 01:05,1.14193,1.14193,1.14191,1.14192
2025-06-05 01:06,1.14191,1.14193,1.14191,1.14192
2025-06-05 01:07,1.141905,1.141935,1.141895,1.141925
2025-06-05 01:08,1.141895,1.14195,1.141895,1.14192
2025-06-05 01:09,1.141905,1.141905,1.14188,1.141885
2025-06-05 01:10,1.141875,1.141875,1.141875,1.141875
2025-06-05 01:11,1.14192,1.14192,1.14192,1.14192
2025-06-05 01:12,1.14187,1.141885,1.141865,1.141885
2025-06-05 01:13,1.14189,1.14189,1.14183,1.141865
2025-06-05 01:14,1.141855,1.141855,1.141855,1.141855
2025-06-05 01:15,1.141845,1.141845,1.141845,1.141845
2025-06-05 01:16,1.14183,1.14183,1.14183,1.14183
